temperature,tile_conc,blocker_conc,blocker_mult,growth_rate,nucleation_rate,nucleation_rate_05,nucleation_rate_95
43.0,1.9306977288832496e-08,2.5e-06,129.48686698078032,0.00023544973544973734,7.18297987603023e-15,4.635320573599828e-15,9.974573175050618e-15
43.0,1.7575106248547923e-08,2.5e-06,142.24665072545739,0.00018551587301587148,4.4841135799218455e-15,1.0638559468364578e-15,8.255253100636117e-15
43.0,1.5998587196060583e-08,2.5e-06,156.2637981318493,0.00010317460317460267,3.40382428906364e-15,0.0,8.952057880237372e-15
43.0,1.4563484775012439e-08,2.5e-06,171.66221125107504,4.960317460317447e-05,2.037175512116742e-15,0.0,6.429325916240436e-15
43.0,1.325711365590109e-08,2.5e-06,188.57800158386547,3.273809523809501e-05,8.902883756442343e-16,0.0,2.809750113533203e-15
43.0,1.206792640639329e-08,2.5e-06,207.16069321367107,-5.95238095238097e-05,6.437413444815027e-16,0.0,2.031647683183622e-15
43.0,2.811768697974231e-08,2.5e-06,88.91200765557821,0.0005591931216931195,3.230548977116064e-15,0.0,7.136935261342762e-15
43.0,1.0985411419875584e-08,2.5e-06,227.57454449788045,-0.00010681216931216816,2.791813331998227e-15,8.831436173554395e-16,5.873975250524271e-15
43.0,2.329951810515372e-08,2.5e-06,107.29835650321947,0.00038359788359788486,1.591573498656617e-15,0.0,5.279179265810057e-15
43.0,1e-08,2.5e-06,250.00000000000003,-0.00012830687830687654,6.397033104488886e-16,0.0,1.682419706480577e-15
43.0,2.1209508879201907e-08,2.5e-06,117.87165908643486,0.00028505291005291117,1.2001924196802838e-15,0.0,3.9809854476130355e-15
43.0,2.559547922699536e-08,2.5e-06,97.67349842636543,0.00045171957671958154,2.5628696362605554e-15,0.0,8.492845089249138e-15
43.0,3.7275937203149396e-08,2.5e-06,67.06739488199315,0.0008158068783068823,6.713704868956715e-15,4.295493346495947e-15,9.568987241231557e-15
43.0,3.393221771895328e-08,2.5e-06,73.67629256379529,0.0007542989417989423,3.5284611742501095e-15,0.0,7.795083483075692e-15
43.0,4.094915062380423e-08,2.5e-06,61.05132736371632,0.001023809523809523,6.925354056869376e-15,4.2411610246488436e-15,1.0327166572372156e-14
43.0,4.4984326689694446e-08,2.5e-06,55.57491206315489,0.0011891534391534468,4.364687535894345e-15,0.0,1.011496695349603e-14
43.0,3.0888435964774816e-08,2.5e-06,80.93643857044108,0.0006736111111111089,1.2940140295029626e-15,0.0,4.288107573009006e-15
43.0,4.941713361323834e-08,2.5e-06,50.58974119312894,0.0013806216931216855,2.59223726192519e-15,0.0,9.380544487788103e-15
43.0,5.42867543932386e-08,2.5e-06,46.051749233167904,0.0015340608465608404,7.532201612086902e-15,4.640052183634382e-15,1.1368002351891698e-14
43.0,5.963623316594644e-08,2.5e-06,41.920823420275205,0.0016755952380952462,3.7087814223468155e-15,0.0,9.296314198934965e-15
