temperature,tile_conc,blocker_conc,blocker_mult,growth_rate,nucleation_rate,nucleation_rate_05,nucleation_rate_95
45.0,2.811768697974231e-08,2.5e-06,88.91200765557821,0.0010849867724867827,3.653580000468356e-15,0.0,1.0098970086694599e-14
45.0,2.559547922699536e-08,2.5e-06,97.67349842636543,0.0008948412698412825,8.564878383866501e-15,6.6850662990700816e-15,1.0812836412655876e-14
45.0,1.7575106248547923e-08,2.5e-06,142.24665072545739,-5.191798941798868e-05,0.0,0.0,0.0
45.0,2.329951810515372e-08,2.5e-06,107.29835650321947,0.0005605158730158619,5.958580384384739e-15,2.683151726378641e-15,1.0715875211795208e-14
45.0,2.1209508879201907e-08,2.5e-06,117.87165908643486,0.0003832671957672007,1.2252861244919353e-15,0.0,4.0680871653591675e-15
45.0,1.5998587196060583e-08,2.5e-06,156.2637981318493,-0.0002046957671957668,0.0,0.0,0.0
45.0,1.4563484775012439e-08,2.5e-06,171.66221125107504,-0.0003429232804232825,0.0,0.0,0.0
45.0,1.325711365590109e-08,2.5e-06,188.57800158386547,-0.0004120370370370345,0.0,0.0,0.0
45.0,1.9306977288832496e-08,2.5e-06,129.48686698078032,0.00022519841269841165,2.092573300276728e-15,0.0,6.947577725128368e-15
45.0,1.206792640639329e-08,2.5e-06,207.16069321367107,-0.000550925925925926,0.0,0.0,0.0
45.0,1.0985411419875584e-08,2.5e-06,227.57454449788045,-0.0006795634920634934,0.0,0.0,0.0
45.0,1e-08,2.5e-06,250.00000000000003,-0.0008161375661375603,0.0,0.0,0.0
45.0,3.0888435964774816e-08,2.5e-06,80.93643857044108,0.0014834656084656073,4.5866964900074595e-15,1.308081424439116e-15,1.0649709309896427e-14
45.0,3.393221771895328e-08,2.5e-06,73.67629256379529,0.0017556216931217017,7.629639780655373e-15,4.991769177577083e-15,1.0931232675076767e-14
45.0,3.7275937203149396e-08,2.5e-06,67.06739488199315,0.002110780423280434,2.0975067857140945e-15,0.0,5.084454810102929e-15
45.0,4.094915062380423e-08,2.5e-06,61.05132736371632,0.002533730158730167,4.18182709321708e-15,8.569025622940662e-16,8.852851111138166e-15
45.0,4.4984326689694446e-08,2.5e-06,55.57491206315489,0.0028187830687830405,8.001395900967683e-15,5.536873981157603e-15,1.1301129495494899e-14
45.0,5.42867543932386e-08,2.5e-06,46.051749233167904,0.003809523809523788,7.732798470202608e-15,4.563543369923626e-15,1.2207463809014702e-14
45.0,4.941713361323834e-08,2.5e-06,50.58974119312894,0.003363095238095249,3.6755115221342815e-15,0.0,9.301618179839875e-15
45.0,5.963623316594644e-08,2.5e-06,41.920823420275205,0.004446428571428651,7.851897898056961e-15,4.509007801059157e-15,1.2777892917963072e-14
45.0,6.551285568595509e-08,2.5e-06,38.16044917938084,0.005185515873015912,3.4635364252796233e-15,0.0,1.4098608361327524e-14
45.0,7.196856730011521e-08,2.5e-06,34.73738735932844,0.005749338624338628,5.892761553722608e-15,2.4176014940890954e-15,1.187601339048693e-14
45.0,7.906043210907697e-08,2.5e-06,31.621380421382415,0.006569113756613775,9.90221163184758e-15,6.207566418135019e-15,1.5491111577141636e-14
45.0,1.8420699693267165e-07,2.5e-06,13.571688598309649,0.020286104555359608,1.1807772450586564e-11,8.579087441098487e-12,1.6016704034962595e-11
45.0,2.0235896477251556e-07,2.5e-06,12.354283403309596,0.022993760005157897,1.7592338747856137e-11,1.2898285889472658e-11,2.364917658265806e-11
45.0,1.6768329368110066e-07,2.5e-06,14.909058291486623,0.01790717663188155,5.371410383517378e-12,3.8085484556578765e-12,7.437494424377339e-12
45.0,2.2229964825261958e-07,2.5e-06,11.24608167242361,0.026281456779088202,3.2804717369389757e-11,2.4248214522624586e-11,4.362786204147623e-11
45.0,1.5264179671752336e-07,2.5e-06,16.378213921488772,0.015647996896654786,2.894916673473462e-12,2.0233472427605378e-12,4.063903740440729e-12
45.0,1.3894954943731376e-07,2.5e-06,17.992141825028803,0.013702999019067987,1.2312195507935437e-12,8.474999419463233e-13,1.7574637166999896e-12
45.0,1.264855216855296e-07,2.5e-06,19.765108027269253,0.012191519148195046,7.735283392241889e-13,5.207664380391198e-13,1.1295279260196214e-12
45.0,3.2374575428176437e-07,2.5e-06,7.7221089911937035,0.04701697448359297,2.8125427194342847e-10,2.1416139493160416e-10,3.632243742276057e-10
