temperature,tile_conc,blocker_conc,blocker_mult,growth_rate,nucleation_rate,nucleation_rate_05,nucleation_rate_95
30.0,1e-08,2.5e-06,250.00000000000003,-6.613756613756613e-06,2.375324868811449e-22,0.0,2.1377923819303045e-21
30.0,1.2742749857031335e-08,2.5e-06,196.18999258786536,-1.3227513227513208e-05,1.7251266558900958e-22,0.0,1.5526139903010861e-21
30.0,1.623776739188722e-08,2.5e-06,153.9620527665066,-9.259259259259249e-06,4.066583185098911e-22,0.0,3.65992486658902e-21
30.0,2.0691380811147902e-08,2.5e-06,120.8232559642938,-5.291005291005291e-06,8.4644018024578125e-22,0.0,7.61796162221203e-21
30.0,2.6366508987303584e-08,2.5e-06,94.81725476830624,-6.6137566137566005e-06,8.947226684953032e-22,0.0,8.052504016457729e-21
30.0,3.3598182862837814e-08,2.5e-06,74.40878604078299,-1.1904761904761914e-05,4.762388500492854e-19,4.762388500492854e-19,4.762388500492854e-19
30.0,4.281332398719393e-08,2.5e-06,58.39303672725307,-1.1243386243386255e-05,3.3543697651356812e-21,0.0,3.018932788622113e-20
30.0,5.4555947811685205e-08,2.5e-06,45.82451777081089,-7.936507936507946e-06,4.330306178601691e-19,0.0,8.660612357203382e-19
30.0,6.951927961775607e-08,2.5e-06,35.96124720719157,-5.952380952380951e-06,1.6627991060280685e-19,0.0,4.988397318084206e-19
30.0,8.858667904100822e-08,2.5e-06,28.22094729211724,-9.920634920634905e-06,1.8109342365427098e-19,0.0,5.432802709628129e-19
30.0,1.1288378916846884e-07,2.5e-06,22.14666976025208,-7.275132275132261e-06,1.8009239720793606e-19,0.0,1.0805543832476164e-18
30.0,1.4384498882876632e-07,2.5e-06,17.37981990443901,-6.613756613756598e-06,1.1636844806362338e-18,0.0,4.654737922544935e-18
30.0,1.832980710832436e-07,2.5e-06,13.6389869529213,-6.613756613756623e-06,2.273596475341181e-19,0.0,2.0462368278070626e-18
30.0,2.3357214690901214e-07,2.5e-06,10.70333099679849,-1.322751322751314e-06,1.4649981804136056e-18,0.0,8.789989082481633e-18
30.0,2.9763514416313195e-07,2.5e-06,8.399545715709452,1.98412698412698e-06,1.955347126755708e-17,0.0,3.910694253511416e-17
30.0,3.79269019073225e-07,2.5e-06,6.591627246825896,7.936507936507923e-06,1.1069608548350383e-16,1.1069608548350383e-16,1.1069608548350383e-16
30.0,4.832930238571753e-07,2.5e-06,5.1728452027869745,3.9021164021163985e-05,2.1954080216931416e-16,2.1954080216931416e-16,2.1954080216931416e-16
30.0,6.158482110660262e-07,2.5e-06,4.059441847971806,0.0002665343915343917,4.670537776383092e-16,4.670537776383092e-16,4.670537776383092e-16
30.0,7.847599703514607e-07,2.5e-06,3.185687464257837,0.0013353174603174555,1.1010000819176226e-15,1.1010000819176226e-15,1.1010000819176226e-15
30.0,1.0000000000000002e-06,2.5e-06,2.5,0.0030820105820105795,3.040699804465934e-15,3.040699804465934e-15,3.040699804465934e-15
30.5,1e-08,2.5e-06,250.00000000000003,-6.613756613756612e-06,1.5898579867722813e-21,0.0,1.4308721880950527e-20
30.5,1.2742749857031335e-08,2.5e-06,196.18999258786536,-7.936507936507938e-06,2.8868585964121373e-22,0.0,2.5981727367709235e-21
30.5,1.623776739188722e-08,2.5e-06,153.9620527665066,-1.3888888888888874e-05,1.5524520097802052e-21,0.0,1.3972068088021846e-20
30.5,2.0691380811147902e-08,2.5e-06,120.8232559642938,-1.1243386243386274e-05,1.4876406689814082e-21,0.0,1.3388766020832674e-20
30.5,2.6366508987303584e-08,2.5e-06,94.81725476830624,-8.597883597883596e-06,4.4575621878094253e-20,0.0,2.674537312685655e-19
30.5,3.3598182862837814e-08,2.5e-06,74.40878604078299,-4.629629629629626e-06,1.912703222341924e-21,0.0,1.7214329001077318e-20
30.5,4.281332398719393e-08,2.5e-06,58.39303672725307,-5.95238095238094e-06,1.0831386209822988e-20,0.0,9.748247588840689e-20
30.5,5.4555947811685205e-08,2.5e-06,45.82451777081089,-3.3068783068783045e-06,2.3901682611793178e-20,0.0,2.1511514350613858e-19
30.5,6.951927961775607e-08,2.5e-06,35.96124720719157,-6.613756613756612e-06,2.32658043052325e-18,0.0,4.6531608610465e-18
30.5,8.858667904100822e-08,2.5e-06,28.22094729211724,-7.2751322751322815e-06,1.2993732927288079e-18,0.0,3.8981198781864236e-18
30.5,1.1288378916846884e-07,2.5e-06,22.14666976025208,-6.61375661375662e-06,2.1966420853848136e-18,0.0,8.786568341539254e-18
30.5,1.4384498882876632e-07,2.5e-06,17.37981990443901,-5.952380952380962e-06,5.635501519178717e-18,0.0,1.690650455753615e-17
30.5,1.832980710832436e-07,2.5e-06,13.6389869529213,-4.629629629629628e-06,3.2621833595914604e-18,0.0,9.786550078774382e-18
30.5,2.3357214690901214e-07,2.5e-06,10.70333099679849,3.3068783068783146e-06,3.467986808946322e-17,0.0,6.935973617892644e-17
30.5,2.9763514416313195e-07,2.5e-06,8.399545715709452,9.920634920634909e-06,1.57779219534858e-17,0.0,9.46675317209148e-17
30.5,3.79269019073225e-07,2.5e-06,6.591627246825896,5.291005291005304e-06,2.3815098438346527e-16,2.3815098438346527e-16,2.3815098438346527e-16
30.5,4.832930238571753e-07,2.5e-06,5.1728452027869745,3.439153439153429e-05,4.72201190253299e-16,4.72201190253299e-16,4.72201190253299e-16
30.5,6.158482110660262e-07,2.5e-06,4.059441847971806,0.0003683862433862438,8.368217899316673e-17,0.0,5.020930739590004e-16
30.5,7.847599703514607e-07,2.5e-06,3.185687464257837,0.0015079365079365078,2.3657462754547725e-15,2.3657462754547725e-15,2.3657462754547725e-15
30.5,1.0000000000000002e-06,2.5e-06,2.5,0.003527777777777766,6.5264703887410944e-15,6.5264703887410944e-15,6.5264703887410944e-15
31.0,1e-08,2.5e-06,250.00000000000003,-5.95238095238095e-06,2.45363064164278e-23,0.0,2.208267577478502e-22
31.0,1.2742749857031335e-08,2.5e-06,196.18999258786536,-9.259259259259247e-06,1.0629371551678668e-21,0.0,9.566434396510802e-21
31.0,1.623776739188722e-08,2.5e-06,153.9620527665066,-8.597883597883593e-06,4.9393978427195315e-22,0.0,4.445458058447578e-21
31.0,2.0691380811147902e-08,2.5e-06,120.8232559642938,-6.613756613756618e-06,1.5166699096163777e-21,0.0,1.36500291865474e-20
31.0,2.6366508987303584e-08,2.5e-06,94.81725476830624,-1.1243386243386233e-05,5.798973559314149e-21,0.0,5.219076203382734e-20
31.0,3.3598182862837814e-08,2.5e-06,74.40878604078299,-4.629629629629626e-06,1.930366802002427e-20,0.0,1.1582200812014564e-19
31.0,4.281332398719393e-08,2.5e-06,58.39303672725307,-8.597883597883604e-06,5.2563584808955294e-20,0.0,3.153815088537318e-19
